city_name,long,lat,temp,humidity,cloud,wind
Grindavik,-22.4338,63.8424,50.47,100,100,9.22
Pangnirtung,-65.7125,66.1451,46.87,93,95,4.27
Provideniya,-173.3,64.3833,49.01,71,48,3.89
East London,27.9116,-33.0153,65.34,88,75,5.75
Cape Town,18.4232,-33.9258,57.34,83,0,11.5
Bredasdorp,20.0403,-34.5322,51.35,86,33,2.46
Albany,-73.9662,42.6001,56.53,94,0,2.26
Port Alfred,26.891,-33.5906,62.19,94,52,8.55
Shimoda,138.95,34.6667,76.1,74,96,11.81
Saint Anthony,-93.218,45.0205,72.99,72,0,10.36
Barrow,-156.7887,71.2906,33.82,100,100,16.11
Kruisfontein,24.7314,-34.0033,57.88,70,45,3.49
Río Gallegos,-69.2181,-51.6226,41.05,52,0,16.11
Alofi,-169.9187,-19.0595,76.35,72,4,18.54
Hobart,147.3294,-42.8794,64.78,70,100,10.36
Severo-Kuril'sk,156.125,50.6789,59.65,73,100,8.84
Bethel,-73.414,41.3712,57.13,85,0,0.0
Benguela,13.4055,-12.5763,69.67,90,6,3.56
Coahuayana Viejo,-103.6833,18.7333,79.36,90,99,2.62
Richards Bay,32.0377,-28.783,70.36,73,2,5.32
Kapaa,-159.319,22.0752,75.22,82,75,12.66
Yiyang,112.3283,28.5892,94.33,30,96,8.43
Longyearbyen,15.6401,78.2186,40.84,93,75,2.3
Opuwo,13.84,-18.0607,71.04,25,0,6.98
Cayenne,-52.3333,4.9333,73.44,94,20,0.0
Sunrise Manor,-115.0731,36.2111,92.61,26,0,8.05
Sioux Lookout,-91.917,50.1001,55.47,82,75,4.61
Klaksvík,-6.589,62.2266,50.92,93,96,8.77
Bluff,168.3333,-46.6,46.35,71,10,5.53
Ushuaia,-68.3,-54.8,40.66,75,75,2.3
Alekseyevka,38.6903,50.6309,51.55,62,6,9.51
Pevek,170.3133,69.7008,48.34,56,35,18.88
Khatanga,102.5,71.9667,36.0,99,100,8.05
Ciudad del Carmen,-91.8333,18.6333,78.67,86,100,2.91
Mahébourg,57.7,-20.4081,75.49,57,75,13.8
Butaritari,172.7902,3.0707,81.7,76,91,15.35
Beloha,45.05,-25.1667,74.19,44,0,9.26
Hermanus,19.2345,-34.4187,50.81,78,28,5.91
Pochutla,-96.4661,15.7432,76.82,87,97,2.91
Jamestown,-79.2353,42.097,58.5,74,0,1.01
Castro,-50.0119,-24.7911,61.83,66,9,5.37
Ponta do Sol,-17.1,32.6667,72.27,79,5,2.44
Fukuechō,128.8419,32.6881,82.76,69,40,11.5
Rikitea,-134.9692,-23.1203,72.27,73,2,19.66
Hambantota,81.1185,6.1241,86.22,64,73,20.96
Arraial do Cabo,-42.0278,-22.9661,68.47,88,9,25.46
Vestmanna,-7.1664,62.1564,49.12,93,20,9.22
Leningradskiy,178.4167,69.3833,45.16,62,1,7.45
Okha,142.9478,53.5739,54.45,62,98,21.81
Saint George,-113.5841,37.1041,87.48,26,0,6.91
Punta Arenas,-70.9167,-53.15,46.51,66,100,20.71
Puerto Ayora,-90.3518,-0.7393,66.54,95,97,8.01
Soc Trang,105.98,9.6033,87.39,66,72,11.21
Grand Gaube,57.6608,-20.0064,75.6,73,66,20.85
Clyde River,-68.5914,70.4692,37.63,93,100,5.75
New Norfolk,147.0587,-42.7826,63.21,62,100,1.99
Korla,86.1469,41.7597,91.81,11,0,9.24
Mehamn,27.8492,71.0357,48.15,87,75,8.05
Maniitsoq,-52.9,65.4167,44.92,71,100,10.04
Cochabamba,-66.1568,-17.3895,54.64,53,19,4.61
College,-147.8028,64.8569,53.33,75,75,5.75
Lüderitz,15.1594,-26.6481,60.26,56,0,11.74
Tasiilaq,-37.6368,65.6145,39.36,79,28,5.73
Mataura,168.8643,-46.1927,45.91,89,32,2.51
Thompson,-97.8558,55.7435,46.56,87,40,11.5
Tura,90.2201,25.5198,90.28,59,96,1.05
Mossamedes,12.1522,-15.1961,65.8,90,3,3.11
Kosa,54.9977,59.9445,43.25,70,29,4.9
Lebu,-73.65,-37.6167,42.62,84,10,7.78
Sørland,12.6934,67.667,48.06,71,75,9.22
Kerrville,-99.1403,30.0474,73.71,70,0,6.91
Iqaluit,-68.5145,63.7506,43.7,87,40,9.22
Saint-Philippe,55.7679,-21.3585,76.59,72,68,12.33
Rock Springs,-109.2029,41.5875,62.42,49,20,17.27
Valparaíso,-71.6273,-33.0393,50.47,100,0,5.75
Caravelas,-39.2481,-17.7125,68.59,80,36,4.88
Sumbe,13.8437,-11.2061,70.66,90,93,2.3
Balyqshy,51.8667,47.0667,69.8,46,40,17.9
Bengkulu,102.2655,-3.8004,83.82,67,83,6.2
Busselton,115.3333,-33.65,62.51,65,22,5.84
Manicoré,-61.3003,-5.8092,73.35,94,0,0.0
Charters Towers,146.2667,-20.1,81.54,45,26,16.98
Puerto del Rosario,-13.8627,28.5004,71.35,83,20,11.5
Carnarvon,113.6333,-24.8667,65.1,62,98,6.24
Hithadhoo,73.0833,-0.6,82.0,68,68,12.03
Narsaq,-46.05,60.9167,44.82,68,63,1.45
Port Elizabeth,25.5701,-33.918,62.2,95,40,4.61
Faanui,-151.75,-16.4833,78.44,75,9,22.79
Hervey Bay,152.8535,-25.2986,68.4,84,81,13.06
Gari,62.3497,59.4307,44.91,93,100,5.61
Atuona,-139.0333,-9.8,76.68,75,7,22.57
Ilulissat,-51.1,69.2167,50.02,50,75,13.8
Roald,6.1333,62.5833,54.37,76,0,5.75
Quelimane,36.8883,-17.8786,76.39,62,5,1.48
Wattegama,81.4808,6.7989,94.53,35,99,7.61
Fairbanks,-147.7164,64.8378,53.29,76,100,5.75
Mayo,-76.5119,38.8876,63.48,94,0,3.85
Vaini,-175.2,-21.2,75.36,94,20,5.75
Krasnosel'kup,82.4667,65.7,41.67,59,77,14.74
Chui,-53.4616,-33.6971,58.03,98,74,3.29
Laibin,109.2667,23.7,89.69,56,87,3.27
Katsuura,140.3,35.1333,79.54,78,99,16.37
Lagoa,-27.9833,39.05,73.87,90,98,21.56
Jumla,82.1838,29.2747,74.55,56,60,6.38
Tiksi,128.8694,71.6872,44.08,79,94,16.02
Yellowknife,-114.3525,62.456,45.12,70,75,15.01
Saint Paul Harbor,-152.4072,57.79,53.11,58,0,9.22
Dire Dawa,41.8661,9.5931,75.49,58,56,6.78
Brigantine,-74.3646,39.4101,63.61,91,0,3.44
São Filipe,-24.4956,14.8961,78.03,81,14,7.85
Yulara,130.9889,-25.2406,72.73,21,70,3.15
Asheboro,-79.8136,35.7079,64.13,95,40,0.0
Ribeira Grande,-28.7,38.5167,75.6,94,75,18.41
Port Blair,92.75,11.6667,87.84,66,75,13.8
Udachny,112.4,66.4167,43.45,80,100,20.04
Aklavik,-135.0107,68.2191,44.65,75,69,5.79
Ochakiv,31.5498,46.6128,68.07,76,60,5.84
Biga,27.2422,40.2281,70.97,63,0,4.99
Djibouti,42.5,11.5,82.81,53,8,2.86
Saskylakh,114.0833,71.9167,39.94,96,100,12.75
Neiba,-71.4167,18.5,76.5,89,67,2.13
Sur,59.5289,22.5667,87.48,48,16,5.77
Chokurdakh,147.9167,70.6333,43.75,70,100,7.43
Avarua,-159.775,-21.2078,73.45,83,20,9.22
Magadan,150.8,59.5667,52.54,96,100,14.38
Kaitangata,169.8464,-46.2817,45.54,82,6,3.22
Turukhansk,87.9833,65.8167,37.72,84,100,15.17
Tuktoyaktuk,-133.0374,69.4541,41.36,82,7,12.06
Maltahöhe,16.9833,-24.8333,65.28,13,0,4.07
Mandalgovi,106.2708,45.7625,83.05,10,0,13.98
Pisco,-76.2167,-13.7,59.05,82,100,9.22
Alto Araguaia,-53.2153,-17.3147,71.17,34,14,4.07
Pascagoula,-88.5561,30.3658,70.74,97,0,3.44
Raudeberg,5.1352,61.9875,58.87,61,14,7.25
Daru,143.2092,-9.0763,81.34,80,92,13.27
Tuatapere,167.6833,-46.1333,45.7,80,42,2.98
Coracora,-73.7833,-15.0333,44.83,29,5,5.23
Tevaitoa,-151.5,-16.7833,78.3,76,9,24.45
Lompoc,-120.4579,34.6391,68.41,81,0,1.01
Upernavik,-56.1549,72.7868,37.96,89,100,11.3
